Id,SalePrice
1461,116440.09693803338
1462,167469.78856993312
1463,182301.97195891998
1464,193886.77283845004
1465,196678.90368308296
1466,167764.2132516582
1467,178660.922266887
1468,156913.83638586654
1469,191784.6951912513
1470,121908.73901702088
1471,175396.9881793572
1472,96955.04966916265
1473,94282.6135501854
1474,144071.81808530918
1475,107624.79147257985
1476,364096.8638431507
1477,250306.78040079944
1478,296025.46033897524
1479,289579.2171171599
1480,474781.69487976405
1481,333971.159017097
1482,211533.9206870065
1483,180416.15739109844
1484,164015.01999558616
1485,193326.81890758747
1486,190046.1787086728
1487,363825.2899693813
1488,227552.16643159816
1489,196207.51318537135
1490,239303.57493782774
1491,191921.6925879809
1492,91521.7093930995
1493,188392.600850131
1494,294644.97045520286
1495,297094.697873345
1496,233765.9610042609
1497,182761.12760864416
1498,194313.1024084959
1499,175661.0957639677
1500,161003.6339285361
1501,171417.39189073455
1502,145511.4254828344
1503,298836.885480903
1504,248474.68968942808
1505,230951.2383580605
1506,196997.80589922512
1507,241575.29432612282
1508,211503.57742887596
1509,158457.52682615735
1510,147381.0652553343
1511,170864.54887993177
1512,165745.35978066534
1513,158817.96869309107
1514,161965.96761357033
1515,176387.70426592138
1516,149513.5764189499
1517,173085.2281636113
1518,134047.46923786128
1519,209612.71449257544
1520,131836.95574146384
1521,128169.78393963358
1522,170050.93505820178
1523,112273.98631476636
1524,122545.22346840824
1525,112836.87661155495
1526,105247.91170601794
1527,110889.23093854974
1528,131910.7903913051
1529,154903.4356690313
1530,179762.46567501593
1531,112961.95549621781
1532,94298.19639039105
1533,145158.24808312036
1534,129711.30220143765
1535,138442.16843427377
1536,106775.27284199654
1537,58412.92458084799
1538,145127.05214751998
1539,202945.23293679074
1540,87821.27419364486
1541,143664.95296915882
1542,145196.5740563822
1543,181921.15253193982
1544,84991.50096250964
1545,111368.86634700643
1546,146785.4363658039
1547,132697.9767805474
1548,140983.81151859087
1549,122861.3660133161
1550,138134.78850049732
1551,105493.04307843951
1552,135036.26159355076
1553,145114.51329515674
1554,110408.24541136989
1555,163829.8376752218
1556,83599.69763557383
1557,112067.81655777739
1558,106747.43126149949
1559,66842.74372704444
1560,119809.27211830654
1561,123640.91816630682
1562,132934.9977577763
1563,121565.02456865432
1564,158187.59382511806
1565,154276.20442063315
1566,247065.6394666733
1567,79226.96312599166
1568,253145.67182930824
1569,142140.3514619911
1570,138379.1990860916
1571,110696.74640826328
1572,139855.45387680328
1573,221043.44422996065
1574,118283.7420123823
1575,220882.71459965836
1576,232761.04797730365
1577,177509.47010134344
1578,153290.59213156463
1579,144369.67943303386
1580,199186.75367861218
1581,157515.38078331054
1582,122701.07255436099
1583,280761.26871248166
1584,218018.7188273559
1585,135129.90673180835
1586,73518.91695210154
1587,113782.21319422712
1588,148707.88620776782
1589,97307.22752411151
1590,128387.5164995411
1591,92151.7304351391
1592,107754.05232329763
1593,126945.29443220081
1594,117945.3350944241
1595,107588.34438998083
1596,220516.9612945187
1597,211214.76235575124
1598,231229.87798119607
1599,172746.7074032238
1600,166550.63394354357
1601,61237.42887049643
1602,111444.96524206834
1603,72829.28623965914
1604,263222.477690111
1605,230724.32557334608
1606,161998.6493568879
1607,193452.95463172067
1608,219849.70935169444
1609,180000.8220336016
1610,147306.04011363283
